source,source_type,mentions,countries,confidence
Igor Matovic,named (unclassified),1,1,medium
Milan Majersky,named (unclassified),1,1,medium
Discrimination NGOs,named (unclassified),1,1,medium
NGO Institute for Public Affairs,named (unclassified),1,1,medium
In February the Auditor General,named (unclassified),1,1,medium
Solomon Islands Planned Parenthood Association,named (unclassified),1,1,medium
National Union of Somali Journalists,named (unclassified),1,1,medium
Human Rights Center in Somaliland,named (unclassified),1,1,medium
Danish Immigration Service,named (unclassified),1,1,medium
Lawyers for Human Rights (LHR),named (unclassified),1,1,medium
Corruption Watch,named (unclassified),1,1,medium
De Ruyter,named (unclassified),1,1,medium
South African Human Rights Commission,named (unclassified),1,1,medium
NGO Working Group of Indigenous Minorities in Southern Africa,named (unclassified),1,1,medium
South African Jewish Board of Deputies,named (unclassified),1,1,medium
One NGO in Durban,named (unclassified),1,1,medium
Department of Basic Education,named (unclassified),1,1,medium
Political Prisoners and Detainees The Ministry of Justice,named (unclassified),1,1,medium
Ministry of Unification,named (unclassified),1,1,medium
Ministry of Gender Equality and Family,named (unclassified),1,1,medium
Rights Korea,named (unclassified),1,1,medium
Ministry of Oceans and Fisheries,named (unclassified),1,1,medium
Department of Statistics,named (unclassified),1,1,medium
Small Arms Survey,named (unclassified),1,1,medium
UN Mission in South Sudan (UNMISS),named (unclassified),1,1,medium
UN Commission,named (unclassified),1,1,medium
African Futures,named (unclassified),1,1,medium
Jesuit Migrant Service,named (unclassified),1,1,medium
European Shoah Legacy Institute,named (unclassified),1,1,medium
Federation of Jewish Communities of Spain (FCJE),named (unclassified),1,1,medium
Defend the Defenders,named (unclassified),1,1,medium
Spanish NGOs,named (unclassified),1,1,medium
In March the Ombudsman,named (unclassified),1,1,medium
Ministry of Inclusion,named (unclassified),1,1,medium
Gitano Secretariat Foundation (FSG),named (unclassified),1,1,medium
Antitrafficking NGOs,named (unclassified),1,1,medium
Sri Lanka,named (unclassified),1,1,medium
Human Rights Commission of Sri Lanka (HRCSL),named (unclassified),1,1,medium
Office on Missing Persons (OMP),named (unclassified),1,1,medium
Center for Human Rights and Development,named (unclassified),1,1,medium
independent nongovernmental organizations,unnamed/generic,1,1,low
Bail Act,named (unclassified),1,1,medium
Center for Human Rights Development,named (unclassified),1,1,medium
Kilinochchi Magistrate Court,named (unclassified),1,1,medium
If the HRCSL,named (unclassified),1,1,medium
In January the Court of Appeal,named (unclassified),1,1,medium
African Center for Justice and Peace Studies,named (unclassified),1,1,medium
Africa Center for Justice and Peace Studies,named (unclassified),1,1,medium
UN Office,named (unclassified),1,1,medium
UN Joint Human Rights Office,named (unclassified),1,1,medium
Sudanese Journalists Syndicate,named (unclassified),1,1,medium
Darfur Bar Association,named (unclassified),1,1,medium
Queer Rights,named (unclassified),1,1,medium
National Board of Health and Welfare,named (unclassified),1,1,medium
Security Service,named (unclassified),1,1,medium
Swedish Agency for Environment Expertise,named (unclassified),1,1,medium
Statistics Sweden,named (unclassified),1,1,medium
Agency for Participation,named (unclassified),1,1,medium
International Trade Union Confederation (ITUC),named (unclassified),1,1,medium
Prevention of Torture (NCPT),named (unclassified),1,1,medium
Global Gender Gap Report,named (unclassified),1,1,medium
Pink Cross,named (unclassified),1,1,medium
NGO Transgender Network,named (unclassified),1,1,medium
NGO Inclusion Handicap,named (unclassified),1,1,medium
COI in July,named (unclassified),1,1,medium
Missing in Sednaya Prison,named (unclassified),1,1,medium
Syria Justice and Accountability Center (SJAC),named (unclassified),1,1,medium
Secretary-General for Children and Armed Conflict,named (unclassified),1,1,medium
UN Office for Coordination of Humanitarian Affairs,named (unclassified),1,1,medium
Prohibition of Chemical Weapons (OPCW),named (unclassified),1,1,medium
COI in March and September,named (unclassified),1,1,medium
Syrians for Truth and Justice,named (unclassified),1,1,medium
COI and NGOs,named (unclassified),1,1,medium
Syrian Journalists,named (unclassified),1,1,medium
Action Group for Palestinians of Syria,named (unclassified),1,1,medium
Syria Direct,named (unclassified),1,1,medium
Physicians for Human Rights (PHR),named (unclassified),1,1,medium
Baath Party,named (unclassified),1,1,medium
Supreme Court Shermuhammad Shohiyon,named (unclassified),1,1,medium
Radio Ozodi,named (unclassified),1,1,medium
Pamir Daily News and Bomdod,named (unclassified),1,1,medium
Agency for Financial Control and Combating Corruption,named (unclassified),1,1,medium
Shahlo Davlatova,named (unclassified),1,1,medium
local trade union,unnamed/generic,1,1,low
In March the Controller and Auditor General,named (unclassified),1,1,medium
Legal and Human Rights Centre (LHRC),named (unclassified),1,1,medium
C NGOs,named (unclassified),1,1,medium
Human Rights and Business Report,named (unclassified),1,1,medium
Legal Aid Center,named (unclassified),1,1,medium
Under the Same Sun,named (unclassified),1,1,medium
international trade unions,unnamed/generic,1,1,low
Prime Minister,named (unclassified),1,1,medium
NGO Thai Lawyers for Human Rights,named (unclassified),1,1,medium
In September NGOs,named (unclassified),1,1,medium
UN Development Program and NGOs,named (unclassified),1,1,medium
Ministry of Social Development and Human Security,named (unclassified),1,1,medium
International Transport Workers Federation,named (unclassified),1,1,medium
NGO Coalition on Diversity and Action,named (unclassified),1,1,medium
Liberation of All Political Prisoners in Togo,named (unclassified),1,1,medium
Court of Auditors,named (unclassified),1,1,medium
Auditor General,named (unclassified),1,1,medium
Inter-American Development Bank,named (unclassified),1,1,medium
World Organization Against Torture (OMCT),named (unclassified),1,1,medium
Ghannouchi and Chaima Issa,named (unclassified),1,1,medium
NGO Damj Association,named (unclassified),1,1,medium
UGTT Spokesman Sami Tahri,named (unclassified),1,1,medium
Penal System,named (unclassified),1,1,medium
Minister of Interior Soylu,named (unclassified),1,1,medium
Committee of Ministers,named (unclassified),1,1,medium
Syrian Arab Republic,named (unclassified),1,1,medium
Media Freedom Rapid Response,named (unclassified),1,1,medium
European Federation of Journalists,named (unclassified),1,1,medium
In January the Commission,named (unclassified),1,1,medium
HIV and AIDS,named (unclassified),1,1,medium
In July the Turkish Ministry of Labor and Social Security,named (unclassified),1,1,medium
Health and Work Safety Assembly,named (unclassified),1,1,medium
Human Rights Ombudsperson,named (unclassified),1,1,medium
Turkmenistan Helsinki Foundation for Human Rights NGO,named (unclassified),1,1,medium
Turkmenistan Helsinki Foundation for Human Rights,named (unclassified),1,1,medium
Family in Turkmenistan,named (unclassified),1,1,medium
Brigadier Felix Kulayigye,named (unclassified),1,1,medium
Robert Kyagulanyi,named (unclassified),1,1,medium
Uganda Prisons Service (UPS),named (unclassified),1,1,medium
Kakwenza Rukirabashaija,named (unclassified),1,1,medium
NUP and FDC,named (unclassified),1,1,medium
Some HRDs,named (unclassified),1,1,medium
Freedom and Roam Uganda,named (unclassified),1,1,medium
Wakiso District,named (unclassified),1,1,medium
Convening for Equality,named (unclassified),1,1,medium
Human Rights Awareness and Promotion Forum (HRAPF),named (unclassified),1,1,medium
Uganda Key Populations Consortium,named (unclassified),1,1,medium
NGO Platform for Labor Action (PLA),named (unclassified),1,1,medium
Court in Kyiv,named (unclassified),1,1,medium
Kharkiv Human Rights Protection Group (KHPG),named (unclassified),1,1,medium
Prosecutor General,named (unclassified),1,1,medium
Ministry of Reintegration,named (unclassified),1,1,medium
Dmytro Ivanytskyy,named (unclassified),1,1,medium
Human Rights NGOs,named (unclassified),1,1,medium
An Oxfam Research Report,named (unclassified),1,1,medium
Central Election Commission,named (unclassified),1,1,medium
Human Rights NGO Nash Svit,named (unclassified),1,1,medium
Office and State Statistics Service,named (unclassified),1,1,medium
Euro-Mediterranean Human Rights Monitor,named (unclassified),1,1,medium
Abu Dhabi,named (unclassified),1,1,medium
Emirates Detainees Advocacy Center,named (unclassified),1,1,medium
Media Council,named (unclassified),1,1,medium
Ministry of Human Resources and Emiratization,named (unclassified),1,1,medium
NGO FairSquare,named (unclassified),1,1,medium
NGO Equidem,named (unclassified),1,1,medium
Prime Minister Rishi Sunak,named (unclassified),1,1,medium
Office for Statistics Regulation,named (unclassified),1,1,medium
NGO Community Security Trust (CST),named (unclassified),1,1,medium
Stamford Hill Shomrim,named (unclassified),1,1,medium
University of Bristol,named (unclassified),1,1,medium
Avon and Somerset Police,named (unclassified),1,1,medium
NGO Galop,named (unclassified),1,1,medium
Bermuda Police Service,named (unclassified),1,1,medium
National Torture Preventive Mechanism (NPM),named (unclassified),1,1,medium
National Torture Prevention Mechanism Report,named (unclassified),1,1,medium
Acrux Partners,named (unclassified),1,1,medium
National Israel Council,named (unclassified),1,1,medium
NGO Freedom for Eurasia,named (unclassified),1,1,medium
Blogger Abdukodir Muminov,named (unclassified),1,1,medium
NGO International Partnership for Human Rights (IPHR),named (unclassified),1,1,medium
Tatyana Dovlatova,named (unclassified),1,1,medium
Galym Ageleulov,named (unclassified),1,1,medium
Sanma Province,named (unclassified),1,1,medium
VPride Foundation,named (unclassified),1,1,medium
Use of Lethal Force,named (unclassified),1,1,medium
While NGOs,named (unclassified),1,1,medium
NGO FundaRedes,named (unclassified),1,1,medium
Working Group,named (unclassified),1,1,medium
Study of Latin America,named (unclassified),1,1,medium
Zair Mundaray,named (unclassified),1,1,medium
National College of Journalists,named (unclassified),1,1,medium
Amazonas State,named (unclassified),1,1,medium
IPYS and Espacio Público,named (unclassified),1,1,medium
VE Sin Filtro,named (unclassified),1,1,medium
National Primary Commission,named (unclassified),1,1,medium
Caribbean Financial Action Task Force,named (unclassified),1,1,medium
Freddy Superlano Salinas,named (unclassified),1,1,medium
Henrique Capriles Radonski,named (unclassified),1,1,medium
NGO Center for Defenders and Justice,named (unclassified),1,1,medium
NGO Utopix Femicide Monitor,named (unclassified),1,1,medium
Indigenous Peoples OHCHR,named (unclassified),1,1,medium
Pendare Autana,named (unclassified),1,1,medium
Environmental NGOs,named (unclassified),1,1,medium
Bolívar State,named (unclassified),1,1,medium
Antisemitism The Confederation of Israelite Associations in Venezuela,named (unclassified),1,1,medium
NGO Citizen Action Against AIDS,named (unclassified),1,1,medium
Venezuelan Observatory of Social Conflict,named (unclassified),1,1,medium
NGO Cecodap,named (unclassified),1,1,medium
Le Anh Hung,named (unclassified),1,1,medium
Pham Thi Huong Giang,named (unclassified),1,1,medium
Central Highlands,named (unclassified),1,1,medium
General Statistics Office of Vietnam,named (unclassified),1,1,medium
Abductees Mothers Association,named (unclassified),1,1,medium
Yemeni Journalists Syndicate in Aden,named (unclassified),1,1,medium
UN Civilian Impact Monitoring Project (CIMP),named (unclassified),1,1,medium
Yemeni Journalists Syndicate,named (unclassified),1,1,medium
International Federation of Journalists,named (unclassified),1,1,medium
Observatory for Media Freedoms in Yemen,named (unclassified),1,1,medium
INSAF Center for Rights and Development,named (unclassified),1,1,medium
Rights and Development,named (unclassified),1,1,medium
Yemen Policy Center,named (unclassified),1,1,medium
SAM Organization for Rights and Liberties,named (unclassified),1,1,medium
Human Rights Commission (HRC),named (unclassified),1,1,medium
Attorney General Mulilo Kabesha,named (unclassified),1,1,medium
Commissioner for Refugees,named (unclassified),1,1,medium
Zambia Police Service,named (unclassified),1,1,medium
Disabilities (ZAPD),named (unclassified),1,1,medium
National Pension Scheme Authority,named (unclassified),1,1,medium
Parliamentary Affairs,named (unclassified),1,1,medium
Commercial Farmers Union,named (unclassified),1,1,medium
EU EOM,named (unclassified),1,1,medium
Team Pachedu,named (unclassified),1,1,medium
NGO Zimbabwe Peace Project,named (unclassified),1,1,medium
Human Rights NGO Forum,named (unclassified),1,1,medium
Zimbabwe National Statistics Agency,named (unclassified),1,1,medium
SADC Gender Protocol Barometer,named (unclassified),1,1,medium
Midlands State University,named (unclassified),1,1,medium
Information and Publicity Minister Monica Mutsvangwa,named (unclassified),1,1,medium
NGO Women in News,named (unclassified),1,1,medium
Multiple Indicator Cluster Survey,named (unclassified),1,1,medium
Gays and Lesbians of Zimbabwe (GALZ),named (unclassified),1,1,medium
Leading NGOs,named (unclassified),1,1,medium
National Social Security Authority (NSSA),named (unclassified),1,1,medium
Center for Natural Resource Governance,named (unclassified),1,1,medium
Steel Company in Mvuma,named (unclassified),1,1,medium
Zimbabwe Economic Policy Analysis and Research Unit,named (unclassified),1,1,medium
Vendors Initiative for Sustainable Economic Transformation,named (unclassified),1,1,medium
